,Academic_Year,LSS_Name,School_Name,Assessment,Student_Group,Tested_Count,Proficient_Pct,Create_Date,Level,Subject,Grade
13272,2021.0,Baltimore County,Golden Ring Middle,English/Language Arts Grade 6,All Students,299.0,43.1,20220211.0,Middle,English/Language,6
13290,2021.0,Baltimore County,Golden Ring Middle,English/Language Arts Grade 7,All Students,245.0,20.0,20220211.0,Middle,English/Language,7
13309,2021.0,Baltimore County,Golden Ring Middle,English/Language Arts Grade 8,All Students,173.0,23.1,20220211.0,Middle,English/Language,8
13328,2021.0,Baltimore County,Parkville Middle,English/Language Arts Grade 5,All Students,16.0,12.5,20220211.0,Middle,English/Language,5
13339,2021.0,Baltimore County,Parkville Middle,English/Language Arts Grade 6,All Students,297.0,59.3,20220211.0,Middle,English/Language,6
13357,2021.0,Baltimore County,Parkville Middle,English/Language Arts Grade 7,All Students,344.0,35.2,20220211.0,Middle,English/Language,7
13374,2021.0,Baltimore County,Parkville Middle,English/Language Arts Grade 8,All Students,269.0,35.3,20220211.0,Middle,English/Language,8
13390,2021.0,Baltimore County,Overlea High,English/Language Arts Grade 8,All Students,11.0,27.3,20220211.0,High,English/Language,8
13399,2021.0,Baltimore County,Overlea High,English/Language Arts Grade 10,All Students,136.0,42.6,20220211.0,High,English/Language,10
13416,2021.0,Baltimore County,Edgemere Elementary,English/Language Arts Grade 3,All Students,53.0,28.3,20220211.0,Elementary,English/Language,3
13430,2021.0,Baltimore County,Edgemere Elementary,English/Language Arts Grade 4,All Students,75.0,29.3,20220211.0,Elementary,English/Language,4
13445,2021.0,Baltimore County,Edgemere Elementary,English/Language Arts Grade 5,All Students,56.0,21.4,20220211.0,Elementary,English/Language,5
13458,2021.0,Baltimore County,Colgate Elementary,English/Language Arts Grade 3,All Students,72.0,8.3,20220211.0,Elementary,English/Language,3
13476,2021.0,Baltimore County,Colgate Elementary,English/Language Arts Grade 4,All Students,71.0,11.3,20220211.0,Elementary,English/Language,4
13494,2021.0,Baltimore County,Colgate Elementary,English/Language Arts Grade 5,All Students,69.0,10.1,20220211.0,Elementary,English/Language,5
13510,2021.0,Baltimore County,Colgate Elementary,English/Language Arts Grade 6,All Students,-1.0,-1.0,20220211.0,Elementary,English/Language,6
13518,2021.0,Baltimore County,Victory Villa Elementary,English/Language Arts Grade 3,All Students,96.0,16.7,20220211.0,Elementary,English/Language,3
13536,2021.0,Baltimore County,Victory Villa Elementary,English/Language Arts Grade 4,All Students,101.0,9.9,20220211.0,Elementary,English/Language,4
13556,2021.0,Baltimore County,Victory Villa Elementary,English/Language Arts Grade 5,All Students,79.0,10.1,20220211.0,Elementary,English/Language,5
13574,2021.0,Baltimore County,Victory Villa Elementary,English/Language Arts Grade 6,All Students,-1.0,-1.0,20220211.0,Elementary,English/Language,6
13587,2021.0,Baltimore County,Martin Boulevard Elementary,English/Language Arts Grade 3,All Students,36.0,11.1,20220211.0,Elementary,English/Language,3
13605,2021.0,Baltimore County,Martin Boulevard Elementary,English/Language Arts Grade 4,All Students,48.0,16.7,20220211.0,Elementary,English/Language,4
13622,2021.0,Baltimore County,Martin Boulevard Elementary,English/Language Arts Grade 5,All Students,36.0,19.4,20220211.0,Elementary,English/Language,5
13637,2021.0,Baltimore County,Chase Elementary,English/Language Arts Grade 3,All Students,58.0,25.9,20220211.0,Elementary,English/Language,3
13653,2021.0,Baltimore County,Chase Elementary,English/Language Arts Grade 4,All Students,-1.0,-1.0,20220211.0,Elementary,English/Language,4
13670,2021.0,Baltimore County,Chase Elementary,English/Language Arts Grade 5,All Students,38.0,23.7,20220211.0,Elementary,English/Language,5
13686,2021.0,Baltimore County,Chase Elementary,English/Language Arts Grade 6,All Students,-1.0,-1.0,20220211.0,Elementary,English/Language,6
13692,2021.0,Baltimore County,Essex Elementary,English/Language Arts Grade 3,All Students,72.0,8.3,20220211.0,Elementary,English/Language,3
13707,2021.0,Baltimore County,Essex Elementary,English/Language Arts Grade 4,All Students,63.0,17.5,20220211.0,Elementary,English/Language,4
13722,2021.0,Baltimore County,Essex Elementary,English/Language Arts Grade 5,All Students,69.0,18.8,20220211.0,Elementary,English/Language,5
13738,2021.0,Baltimore County,Essex Elementary,English/Language Arts Grade 6,All Students,-1.0,-1.0,20220211.0,Elementary,English/Language,6
13743,2021.0,Baltimore County,Chesapeake Terrace Elementary,English/Language Arts Grade 3,All Students,47.0,14.9,20220211.0,Elementary,English/Language,3
13760,2021.0,Baltimore County,Chesapeake Terrace Elementary,English/Language Arts Grade 4,All Students,38.0,47.4,20220211.0,Elementary,English/Language,4
13772,2021.0,Baltimore County,Chesapeake Terrace Elementary,English/Language Arts Grade 5,All Students,34.0,23.5,20220211.0,Elementary,English/Language,5
13786,2021.0,Baltimore County,Mars Estates Elementary,English/Language Arts Grade 3,All Students,51.0,13.7,20220211.0,Elementary,English/Language,3
13803,2021.0,Baltimore County,Mars Estates Elementary,English/Language Arts Grade 4,All Students,61.0,14.8,20220211.0,Elementary,English/Language,4
13820,2021.0,Baltimore County,Mars Estates Elementary,English/Language Arts Grade 5,All Students,49.0,18.4,20220211.0,Elementary,English/Language,5
13839,2021.0,Baltimore County,Mars Estates Elementary,English/Language Arts Grade 6,All Students,-1.0,-1.0,20220211.0,Elementary,English/Language,6
13848,2021.0,Baltimore County,Sussex Elementary,English/Language Arts Grade 3,All Students,60.0,8.3,20220211.0,Elementary,English/Language,3
13865,2021.0,Baltimore County,Sussex Elementary,English/Language Arts Grade 4,All Students,64.0,9.4,20220211.0,Elementary,English/Language,4
13883,2021.0,Baltimore County,Sussex Elementary,English/Language Arts Grade 5,All Students,57.0,12.3,20220211.0,Elementary,English/Language,5
13901,2021.0,Baltimore County,Sussex Elementary,English/Language Arts Grade 6,All Students,-1.0,-1.0,20220211.0,Elementary,English/Language,6
13912,2021.0,Baltimore County,Middlesex Elementary,English/Language Arts Grade 3,All Students,59.0,5.1,20220211.0,Middle,English/Language,3
13930,2021.0,Baltimore County,Middlesex Elementary,English/Language Arts Grade 4,All Students,60.0,13.3,20220211.0,Middle,English/Language,4
